,CSR used,Surround Used,,,,,,,
,1.11,138,,,,,,,
,,,,,,,,,
PixONs,,,,ON alphas,,,,,
Mean,34.5,81.6,47.1,,29.9,#DIV/0!,#DIV/0!,,
cellname,model SS,real SS,absolute difference,cellname,model SS,real SS,absolute difference,,
052517Bc2,32.3,95.8,63.5,062817Bc4,30.21,43.7,13.4,,
052517Bc3,34.2,88.9,54.7,062917Ac6,35.42,26.2,9.2,,
062017Ac5,43.0,59.6,16.6,062917Bc2,22.61,25.3,2.7,,
062017Bc5,30.8,86.5,55.7,062917Bc4,35.13,34.2,0.9,,
071417Bc3,34.3,91.0,56.7,071417Bc1,26.07,13.5,12.5,,
072517Bc1,33.0,83.3,50.3,,,,,,
083116Bc4,34.2,89.5,55.3,,,,,,
092917Bc4,35.2,74.9,39.8,,,,,,
110117Bc2,31.7,78.2,46.5,,,,,,
112216Bc4,35.1,61.9,26.9,,,,,,
121516Bc5,35.9,87.8,51.9,,,,,,
072517Bc2,33.1,79.2,46.0,,,,,,
020618Ac2    ,32.6,81.3,48.7,,,,,,
071117Bc9     ,38.5,83.2,44.8,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
