,CSR used,Surround Used,,,,,
,1.11,138,,,,,
,,,,,,,
PixONs,,,,ON alphas,,,
Mean,71.6,81.6,15.4,,64.8,#REF!,#REF!
cellname,model SS,real SS,absolute difference,cellname,model SS,real SS,absolute difference
052517Bc2,69.0,95.8,26.8,060322Ac2,63.13,21.4,41.8
052517Bc3,72.0,88.9,16.9,062817Bc4,68.09,43.7,24.4
062017Ac5,79.4,59.6,19.8,062917Ac6,72.66,26.2,46.5
062017Bc5,68.5,86.5,18.0,062917Bc2,57.78,25.3,32.4
071417Bc3,71.5,91.0,19.4,062917Bc4,72.22,34.2,38.0
072517Bc1,70.3,83.3,13.0,071417Bc1,62.09,13.5,48.6
083116Bc4,70.7,89.5,18.8,090617Bc2,64.31,32.0,32.3
092917Bc4,72.6,74.9,2.4,091217Bc2,57.96,29.7,28.3
110117Bc2,69.1,78.2,9.1,,,,
112216Bc4,72.3,61.9,10.4,,,,
121516Bc5,72.8,87.8,15.0,,,,
,,,,,,,
